,ID,MOLD_ID,CT,TFF
92684,1251602,F,0,20211029160016
92699,1251701,B,179,20211029165019
92715,1251854,C,197,20211029171013
92721,1251892,F,0,20211029170018
92737,1251993,B,179,20211029175021
92753,1252146,C,197,20211029181015
92758,1252179,F,0,20211029180021
92779,1252333,B,179,20211029185023
92789,1252431,C,197,20211029191017
92796,1252473,F,0,20211029190024
92823,1252649,B,179,20211029195623
92834,1252750,C,197,20211029201019
92840,1252786,F,0,20211029200028
92860,1252937,B,179,20211029205625
92870,1253035,C,197,20211029211021
92876,1253075,F,0,20211029210030
92900,1253236,B,179,20211029215627
92910,1253334,C,197,20211029221023
92916,1253369,F,0,20211029220033
92937,1253524,B,179,20211029225629
92947,1253621,C,197,20211029231025
92954,1253661,F,0,20211029230036
92974,1253795,B,179,20211029235631
92986,1253913,C,197,20211030001028
92994,1253959,F,0,20211030000038
93014,1254105,B,179,20211030005633
93025,1254213,C,197,20211030011030
93031,1254251,F,0,20211030010040
93057,1254413,B,179,20211030015635
93068,1254525,C,176,20211030021033
93074,1254563,F,0,20211030020042
93096,1254747,B,179,20211030025637
93107,1254859,C,176,20211030031035
93112,1254893,F,0,20211030030044
93134,1255039,B,179,20211030035639
93145,1255153,C,183,20211030041038
93149,1255183,F,0,20211030040046
93172,1255333,B,179,20211030045641
93183,1255445,C,183,20211030051040
93187,1255473,F,0,20211030050049
93211,1256099,B,179,20211030055643
93223,1256216,C,182,20211030061042
93226,1256240,F,0,20211030060052
93252,1256433,B,179,20211030065648
93260,1256504,C,0,20211030071044
93264,1256530,F,0,20211030070054
93291,1256727,B,179,20211030080546
93298,1256796,C,0,20211030081047
93302,1256822,F,0,20211030080056
93328,1257015,B,179,20211030090548
93335,1257082,C,0,20211030091050
93340,1257112,F,0,20211030090058
93373,1257335,B,179,20211030100550
93380,1257404,C,0,20211030101052
93385,1257430,F,0,20211030100100
93409,1257614,B,179,20211030110552
93416,1257682,C,0,20211030111055
93421,1257708,F,0,20211030110102
93447,1257918,B,179,20211030120554
93454,1257984,C,0,20211030121057
93457,1258000,F,0,20211030120104
93484,1258197,B,179,20211030130556
93491,1258261,C,0,20211030131100
93494,1258277,F,0,20211030130106
93521,1258476,B,179,20211030140558
93528,1258538,C,0,20211030141102
93531,1258554,F,0,20211030140108
93558,1258753,B,179,20211030150600
93565,1258815,C,0,20211030151105
93568,1258831,F,0,20211030150110
93595,1259026,B,179,20211030160602
93602,1259090,C,0,20211030161108
93605,1259108,F,0,20211030160113
93632,1259303,B,179,20211030170605
93639,1259369,C,0,20211030171110
93642,1259385,F,0,20211030170116
93669,1259582,B,179,20211030180607
93676,1259646,C,0,20211030181113
93679,1259662,F,0,20211030180119
93706,1259859,B,179,20211030190609
93713,1259923,C,0,20211030191115
93716,1259939,F,0,20211030190122
93743,1260134,B,179,20211030200611
93750,1260200,C,0,20211030201117
93753,1260216,F,0,20211030200124
93781,1260427,B,179,20211030210613
93787,1260477,C,0,20211030211119
93790,1260495,F,0,20211030210127
